word,pos,11_freqLex3,13_AbsGoug_1063,13_AbsGoug_2000,13_AbsGoug_3000,13_AbsGoug_4000,13_AbsGoug_5000,13_AbsGoug_6000,13_AbsGoug_7000,13_AbsGoug_8000,13_AbsGoug_8775,14_cons_db,14_digraph,14_nasale,14_orale,14_sum_pattern,14_voy_db,15_Avg_pref_freq_seg_10,15_Avg_pref_freq_seg_5,15_Avg_suf_freq_seg_10,15_Avg_suf_freq_seg_5,15_Familly_size_CL_seg_10,15_Family_avgfreq_hclust_10,15_Family_avgfreq_hclust_5,15_Family_avgfreq_morphonet,15_Family_avgfreq_seg_10,15_Family_avgfreq_seg_5,15_Family_cumfreq_hclust_10,15_Family_cumfreq_hclust_5,15_Family_cumfreq_morphonet,15_Family_cumfreq_seg_10,15_Family_cumfreq_seg_5,15_Family_maxfreq_hclust_10,15_Family_maxfreq_hclust_5,15_Family_maxfreq_morphonet,15_Family_maxfreq_seg_10,15_Family_maxfreq_seg_5,15_Family_size_CL_MORPHONET,15_Family_size_CL_hclust_10,15_Family_size_CL_hclust_5,15_Family_size_CL_seg_5,15_Family_size_hclust_10,15_Family_size_hclust_5,15_Family_size_morphonet,15_Family_size_seg_10,15_Family_size_seg_5,15_Has_prefix_seg_10,15_Has_prefix_seg_5,15_Has_suffix_seg_10,15_Has_suffix_seg_5,15_Is_compound_seg_10,15_Is_compound_seg_5,15_Min_pref_freq_seg_10,15_Min_pref_freq_seg_5,15_Min_suf_freq_seg_10,15_Min_suf_freq_seg_5,15_Nb_morphs_seg_10,15_Nb_morphs_seg_5,16_polysemStatus,17_babelNetStatus,1_nb_letters,2_nb_phon,3_nb_syllables,4_complexStructRatio,4_medianStructRatio,4_simpleStructRatio,5_phongraph,7a_nb_voisin,7b_neigh_frqcum,7c_nb_neigh_Morefreq,N1_simple_inconsistants,N2_complex_inconsistants,N3_etymo,N4_phongraph,N5_PresManulex,forme phon
solidement,ADV,-13.9309560009,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11988.0,11136.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,18.0,18.0,3.0,24.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2592.0,2428.0,3.0,3.0,0.0,0.0,10.0,7.0,3.0,0.0,0.0,1.0,2.0,0,0.0,0.0,1,0,0,3.0,1,so-lid-m@
sommer,VER,-12.5619112382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2971.0,2717.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,16.0,15.0,3.0,71.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,618.0,570.0,3.0,3.0,1.0,0.0,6.0,4.0,2.0,0.0,0.0,1.0,1.0,5.0,0.00031163451077565043,4.0,1,0,0,2.0,0,so-me
sourcier,NOM,-14.6423877078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,877.0,910.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,8.0,8.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,877.0,910.0,2.0,2.0,0.0,2.0,8.0,6.0,2.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1,0,0,2.0,0,suR-sje
spore,NOM,-13.8138859635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21385.0,19845.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,20.0,12.0,3.0,25.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,21385.0,19845.0,2.0,2.0,-1.0,-1.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,4.0,3.45202683902103e-05,4.0,1,0,0,1.0,0,spOR
spéléologue,NOM,-15.0036321007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,11.0,9.0,4.0,0.0,0.25,0.75,1.0,1.0,1.7408596394001047e-07,1.0,1,0,0,2.0,1,spe-le-o-lOg
stockage,NOM,-13.4326805626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1528.0,1505.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,6.0,2.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1528.0,1505.0,2.0,2.0,0.0,2.0,8.0,6.0,2.0,0.0,0.5,0.5,1.0,0,0.0,0.0,1,1,0,2.0,0,sto-kaZ
stocker,VER,-12.4513459256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2414.0,2745.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,6.0,6.0,2.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2414.0,2745.0,2.0,2.0,0.0,0.0,7.0,5.0,2.0,0.0,0.5,0.5,1.0,1.0,3.132652453307206e-07,1.0,1,0,0,2.0,0,sto-ke
stupéfaire,VER,-19.6046453987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,791.0,19845.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,791.0,19845.0,2.0,3.0,-1.0,0.0,10.0,8.0,3.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.0,1,0,0,2.0,0,sty-pe-fER
support,NOM,-12.6373603662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,9.0,7.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,5.0,2.0,0.0,0.0,1.0,1.0,0,0.0,0.0,1,0,1,2.0,0,sy-pOR
suppression,NOM,-13.9434531686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1083.0,1065.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,15.0,6.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1083.0,1065.0,2.0,2.0,0.0,1.0,11.0,8.0,3.0,0.0,0.3333333333333333,0.6666666666666666,2.0,1.0,2.574972735124091e-07,0.0,1,1,1,3.0,0,sy-pRe-sj§
