la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir une certaine écoute;collocation;conversation;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de l'esprit;expression verbale figée;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de bonnes dents;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des besoins;collocation;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de l'argent;collocation;argent;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir libre carrière;expression idiomatique;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir ses bricoles;expression idiomatique;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir un creux;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir toute sa conscience;expression verbale figée;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir grande allure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir le blues;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des bricoles;expression idiomatique;autres;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir une bonne bille;expression idiomatique;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir du bon;collocation;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des enfants;collocation;;;A2;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir pauvre figure;collocation;apparence;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir de la branche;expression idiomatique;comportement;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir des couilles;expression idiomatique;personnalité;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
avoir les crocs;expression idiomatique;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>Det1_<ENT>C1
